Player,HF_Deliveries_Found,HF_Wickets_Found,Primary_Strength_Line,Primary_Strength_Length
SL Malinga,220,13,Off Stump,Full
JP Faulkner,88,1,Off Stump,Short
A Zampa,128,2,Leg Stump,Good Length
JRMVB Sanjaya,29,1,Off Stump,Full
Aizaz Khan,1639,57,Off Stump,Full
AJ Tye,255,20,Off Stump,Full
Tanveer Ahmed,407,14,Off Stump,Full
T Muzarabani,400,18,Off Stump,Full
S Prasanna,9,1,Outside Off,Full
PJ Cummins,355,9,Off Stump,Short
Nadeem Ahmed,407,14,Off Stump,Full
MD Shanaka,86,4,Down Leg,Short
JJ Bumrah,765,23,Off Stump,Full
JA Richardson,292,16,Off Stump,Full
DAS Gunaratne,88,6,Off Stump,Full
CJ Chibhabha,11,1,Off Stump,Full
YS Chahal,483,23,Outside Off,Full
TM Head,167,7,Off Stump,Full
R Dhawan,774,21,Off Stump,Full
PADLR Sandakan,972,22,Off Stump,Full
KJ O'Brien,160,4,Down Leg,Full
JD Unadkat,203,11,Middle Stump,Full
J Mulder,133,4,Down Leg,Full
Ehsan Khan,1639,57,Off Stump,Full
DT Tiripano,72,1,Down Leg,Full
