text,line,length,shot
short of a length and some shape into off stump. Allows it come on and dabs with soft hands in front of point,Off Stump,Short,Unknown
"length on leg stump, stays back and clips it through square leg off the back foot",Leg Stump,Unknown,Unknown
"full and just outside off, no swing back this time, just angle. Watches it carefully and taps to point on the front foot",Outside Off,Full,Unknown
good length inswinger starts on leg and curves further down. Early exercise for Bairstow,Unknown,Good Length,Unknown
"short of a length and slanting across the corridor, left alone",Unknown,Short,Leave
"short of a length and angled across off, left alone",Unknown,Short,Leave
some wobble for Broad outside off. Good length and skidding through nicely just outside off. Left alone,Outside Off,Good Length,Leave
short of a length and just outside off. Left alone,Outside Off,Short,Leave
"short of a length on off stump, defended off the back foot",Off Stump,Short,Defend
"<b>beats him.</b> That's a great line, he's hit it consistently. Just outside off, draws him forward for the angle and gets it to cut past the outside edge",Outside Off,Unknown,Cut
"short and wide outside off, left alone",Outside Off,Short,Leave
"length and in at off stump, drops it into the pitch with a closed face",Off Stump,Unknown,Unknown
"length ball slanted across the corridor, left alone",Unknown,Unknown,Leave
"short of a length and wide outside off, left alone",Outside Off,Short,Leave
"length ball and pushed across off stump, left alone",Off Stump,Unknown,Leave
<b>inwinger</b> from Anderson. The old set-up. But doesn't get the line right once again. Starts on middle and swings into the pad. Dhawan can't get bat on this attempted glance but India get the run off his thigh,Middle Stump,Unknown,Flick
"short of a length in the corridor, left alone",Unknown,Short,Leave
"outswinger short and wide outside off, left alone",Outside Off,Short,Leave
"short of a length wide outside off, no shape away this time Left alone",Outside Off,Short,Leave
"length ball with some shape away, defended into the off side off the front foot",Unknown,Unknown,Defend
"short of a length and swinging away outside off, left alone",Outside Off,Short,Leave
<b>beaten on the inside edge this time!</b> Superb from Broad. Dhawan has been beaten on both edges from the same line. This one slants back in and he's in two minds. Preparing to leave but it comes back in,Unknown,Unknown,Leave
"full on leg stump, tapped into the leg side with soft hands",Leg Stump,Full,Unknown
"<b>beaten on the outside edge.</b> Length ball pushed across off stump, jabs at it and can't get connection on it",Off Stump,Unknown,Unknown
"length ball wide outside off, left alone",Outside Off,Unknown,Leave
"length on of stump, blocked on the front foot",Unknown,Unknown,Defend
<b>thick edge</b> over the slips. Short of a length and cramping him just outside off with some shape away. He slashes at it and gets it to clear fourth slip,Outside Off,Short,Unknown
"<b>leans in nicely</b> and transfers his weight into it. Tad away from the body as he drives this outswinger, but he played it late and opened the face at the right time. Stokes gives chase but he's beaten",Unknown,Unknown,Drive
"short of a length on off stump, gets deep in the crease and taps it with soft hands in front of mid-off",Off Stump,Short,Unknown
"length ball swinging away wide outside off, left alone",Outside Off,Unknown,Leave
"short of a length just outside off, pokes it into the off side off the back foot",Outside Off,Short,Unknown
"full outswinger, wide outside off. Left alone",Outside Off,Full,Leave
"length ball just outside off, pushed into the leg side off the back foot. An exaggerated shuffle from Dhawan there. Trying to get behind the line that had him in trouble last time he faced Broad",Outside Off,Unknown,Unknown
length ball swung away from the corridor. Left alone on the back foot,Unknown,Unknown,Leave
<b>climbs</b> past the outside edge. Looks to defend this outswinger on the back foot but he's not behind the line,Unknown,Unknown,Defend
"short of a length outside off, left alone",Outside Off,Short,Leave
"<b>wide of the crease</b> but can't get the batsman to play on the angle. It's too short and too wide. Swings away, left alone",Unknown,Short,Leave
"back close to the crease, but still a tad too wide. Short of a length and swung away, left alone",Unknown,Short,Leave
<b>beaten.</b> Lovely away curving ball from off. Gets forward to defend and is done by the movement,Unknown,Unknown,Defend
short of a length and slanted into the corridor. Left alone,Unknown,Short,Leave
"length ball swinging away, wide outside off, left alone",Outside Off,Unknown,Leave
"withdraws the bat and lets it go. Outswinger from a length, wide outside off",Outside Off,Unknown,Unknown
"short of a length just outside off, defended into the off side off the back foot",Outside Off,Short,Defend
"<b>squeezes</b> one to the fine leg boundary again. Shuffles and nearly gets caught out with the front leg coming across off stump, but he manages to get bat in time",Off Stump,Unknown,Unknown
"full outswinger outside off, left alone",Outside Off,Full,Leave
"short and wide outside off, left alone",Outside Off,Short,Leave
"short of a length on off stump, defended solidly off the back foot",Off Stump,Short,Defend
"short of a length and wide outside off, left alone",Outside Off,Short,Leave
"short of a length and in at leg stump, pushed into the leg side with soft hands to steal a single from mid-on",Leg Stump,Short,Unknown
"short of a length and wide outside off, left alone",Outside Off,Short,Leave
"<b>drags</b> this from way outside off with a pull. Peculiar shot. Short and wide, there for the hammering through cover. He rolls his wrists and gets it down to deep backward square",Outside Off,Short,Pull
<b>whack.</b> Short and wide outside off and Dhawan stands tall and slaps it to the cover boundary,Outside Off,Short,Unknown
"short of a length on leg stump, deflected into the square leg region off the thigh guard",Leg Stump,Short,Unknown
short of a length and in at off stump. Defended off the back foot,Off Stump,Short,Defend
"length ball in at off stump, solidly forward and smart to play with soft hands. Gets a single at cover",Off Stump,Unknown,Unknown
"short of a length in the corridor, defended into the covers with soft hands",Unknown,Short,Defend
length ball with marginal shape away in the corridor. Defended on the front foot,Unknown,Unknown,Defend
<b>jags back</b> as he looks to leave this. He's withdrawn the bat behind his front pad. The ball has run into the slips off the face,Unknown,Unknown,Leave
"short and wide outside off, left alone",Outside Off,Short,Leave
"length ball angled in at middle stump, poked in front of square leg off the front foot",Middle Stump,Unknown,Unknown
"short of a length in the corridor, pushed to cover off the back foot",Unknown,Short,Unknown
"length ball swung away outside off, left alone",Outside Off,Unknown,Leave
"length ball wide outside off, plants the front leg forward and hides the bat behind it to allow this to go",Outside Off,Unknown,Unknown
short and very wide outside off. Stays tall and crunches it through extra cover. That's come on very very slowly,Outside Off,Short,Unknown
"length ball wide outside off, left alone",Outside Off,Unknown,Leave
"short of a length and wide outside off, left alone",Outside Off,Short,Leave
"length and just outside off. Jabs at it on the front foot, gets it wide of mid-on off the inside half",Outside Off,Unknown,Unknown
short of a length and angled into him. Gets an inside edge onto front thigh as he looks to defend. Dhawan calls for the run and beats Stokes on the sprint,Unknown,Short,Defend
full outswinger that starts from middle. Keeps his shape and allows it to swing before offering the full face,Middle Stump,Full,Unknown
"short and outside off, nicely behind for the cut. Finds backward point on the bounce",Outside Off,Short,Cut
"short and wide outside off, left alone",Outside Off,Short,Leave
"short and very wide outside off, left alone",Outside Off,Short,Leave
"length ball swung away wide outside off, left alone",Outside Off,Unknown,Leave
"short of a length with shape away in the corridor, left alone",Unknown,Short,Leave
<b>beaten on the inside edge</b> as he leans in to try and flick this length ball from off stump,Off Stump,Unknown,Flick
"short and shaping away outside off, opens the face and runs it to backward point",Outside Off,Short,Unknown
<b>inswinger</b> but a little too short to trouble him. Manages to get glove on it and turn it behind square leg from a length,Unknown,Short,Unknown
"good length inswinger from wide outside off, defended solidly on the front foot",Outside Off,Good Length,Defend
