name,battingStyle
AJ Finch,Right-hand bat
M Klinger,Right-hand bat
TM Head,Right-hand bat
MC Henriques,Right-hand bat
AJ Turner,Left-hand bat
JP Faulkner,Left-hand bat
N Dickwella,Right-hand bat
WU Tharanga,Left-hand bat
EMDY Munaweera,Right-hand bat
DAS Gunaratne,Right-hand bat
TAM Siriwardana,Right-hand bat
CK Kapugedera,Right-hand bat
S Prasanna,Right-hand bat
BR Dunk,Right-hand bat
TD Paine,Left-hand bat
PJ Cummins,Right-hand bat
AJ Tye,Right-hand bat
JA Richardson,Right-hand bat
BKG Mendis,Left-hand bat
KMDN Kulasekara,Left-hand bat
SL Malinga,Right-hand bat
MD Shanaka,Right-hand bat
JRMVB Sanjaya,Right-hand bat
Nizakat Khan,Right-hand bat
Aizaz Khan,Right-hand bat
Babar Hayat,Right-hand bat
Anshuman Rath,Right-hand bat
Ehsan Khan,Right-hand bat
Tanwir Afzal,Right-hand bat
Shahid Wasif,Right-hand bat
WTS Porterfield,Right-hand bat
DA Rankin,Left-hand bat
SP Terry,Right-hand bat
JNK Shannon,Right-hand bat
GJ Thompson,Right-hand bat
KJ O'Brien,Right-hand bat
AR McBrine,Left-hand bat
L Tucker,Right-hand bat
J Mulder,Left-hand bat
J Little,Right-hand bat
CA Young,Right-hand bat
CJ Chibhabha,Right-hand bat
H Masakadza,Right-hand bat
R Mutumbami,Right-hand bat
Sikandar Raza,Right-hand bat
MN Waller,Right-hand bat
CT Mutombodzi,Left-hand bat
E Chigumbura,Right-hand bat
AG Cremer,Right-hand bat
N Madziva,Left-hand bat
KL Rahul,Left-hand bat
AT Rayudu,Right-hand bat
Mandeep Singh,Right-hand bat
MK Pandey,Right-hand bat
KM Jadhav,Left-hand bat
MS Dhoni,Left-hand bat
AR Patel,Right-hand bat
R Dhawan,Left-hand bat
