name,bowlingStyle
SL Malinga,Right-arm fast (Kaggle Dataset)
JJ Bumrah,Right-arm fast (Kaggle Dataset)
YS Chahal,Legbreak googly (Kaggle Dataset)
A Zampa,Legbreak googly (Kaggle Dataset)
PJ Cummins,Right-arm fast (Kaggle Dataset)
AR Patel,Slow left-arm orthodox (Kaggle Dataset)
JD Unadkat,Left-arm medium-fast (Kaggle Dataset)
JP Faulkner,Left-arm fast-medium (Kaggle Dataset)
TM Head,Right-arm offbreak (Kaggle Dataset)
Sikandar Raza,Right-arm offbreak (Kaggle Dataset)
AG Cremer,Legbreak googly (Kaggle Dataset)
CJ Chibhabha,Right-arm medium (Kaggle Dataset)
DAS Gunaratne,Right-arm off-break (Kaggle Dataset)
DT Tiripano,Right-arm fast-medium (Kaggle Dataset)
